,Наименование субъекта,Назначение ОРО,Количество OPO
3816,Воронежская область ,хранение,6.0
3828,Вологодская область,хранение,16.0
3829,Вологодская область,захоронение,40.0
3884,Владимирская область,захоронение,9.0
3893,Волгоградская область,захоронение,16.0
3894,Волгоградская область,хранение,12.0
3921,Брянская область,захоронение,16.0
3937,Белгородская область,захоронение,26.0
3941,Белгородская область,хранение,2.0
3965,Астраханская область,захоронение,6.0
3971,Архангельская область,хранение,14.0
3972,Архангельская область,захоронение,43.0
4028,Амурская область,хранение,6.0
4029,Амурская область,захоронение,14.0
4048,Республика Алтай,захоронение,10.0
4053,Республика Алтай,хранеине,1.0
4059,Алтайский край,хранение,21.0
4062,Алтайский край,захоронение,23.0
4090,Алтайский край,хранеине,1.0
